topic_label,neg_rate,pos_rate,avg_pos_prob,count
Gift / holiday purchase,0.030014109196630896,0.969985890803369,0.9698952,23389
Beginner / ease of play,0.07907610874969925,0.9209238912503007,0.9211067,12469
Singing bowls / meditation,0.0869223720382249,0.913077627961775,0.9133865,15278
Drum hardware / shells,0.11940009675858733,0.8805999032414127,0.88105357,10335
Cymbals,0.1238311136299235,0.8761688863700765,0.87679374,10587
Small percussion accessories,0.145141209619291,0.854858790380709,0.8554773,15261
Electronic drums / practice pad,0.17830411155541884,0.8216958884445812,0.82271725,9753
Product defects / returns,0.5541271176258561,0.44587288237414396,0.4492715,16646
